ID	Status	FatherId	MotherId	Children
2	M	2.1	2.5	
4	M	4.1	4.5	61;65;70
6	M	6.1	6.5	
8	M	8.1	8.5	
10	M	10.1	10.5	65;75;81
12	M	12.1	12.5	70;85
14	M	14.1	14.5	67;84;86
16	M	16.1	16.5	61;87;96;97
18	M	18.1	18.5	
20	M	20.1	20.5	75;82;90;103
22	M	22.1	22.5	64;66;77
24	M	24.1	24.5	62
26	M	26.1	26.5	
28	M	28.1	28.5	77;78;83
30	M	30.1	30.5	68;72
32	M	32.1	32.5	80
34	M	34.1	34.5	66
36	M	36.1	36.5	62
38	M	38.1	38.5	
40	M	40.1	40.5	76;84;85
42	M	42.1	42.5	63;73;87;89
44	M	44.1	44.5	64
46	M	46.1	46.5	67;71;86;88;94;95;99;103;109
48	M	48.1	48.5	68;69;78;79
50	M	50.1	50.5	69;104
52	M	52.1	52.5	79;81
54	M	54.1	54.5	63;72;74
56	M	56.1	56.5	73
58	M	58.1	58.5	74;80;83
60	M	60.1	60.5	71;76;82;88;89
61	M	61.1	61.5	90;91
62	M	62.1	62.5	92
63	M	63.1	63.5	93;105;115;118;122
64	M	64.1	64.5	93;104;107
65	M	65.1	65.5	101
66	M	66.1	66.5	94;110;118
67	M	67.1	67.5	91;100
68	M	68.1	68.5	95;100
69	M	69.1	69.5	96;106;110
70	M	70.1	70.5	
71	M	71.1	71.5	92;101;112;116
72	M	72.1	72.5	97;98
73	M	73.1	73.5	
74	M	74.1	74.5	102;112;113
75	M	75.1	75.5	98;99;107;108
76	M	76.1	76.5	
77	M	77.1	77.5	108;115
78	M	78.1	78.5	
79	M	79.1	79.5	102
80	M	80.1	80.5	
81	M	81.1	81.5	106;111;114;120;121
82	M	82.1	82.5	105;111
83	M	83.1	83.5	109;113;116
84	M	84.1	84.5	114;117;124
85	M	85.1	85.5	
86	M	86.1	86.5	
87	M	87.1	87.5	119
88	M	88.1	88.5	119
89	M	89.1	89.5	117
90	M	90.1	90.5	
91	M	91.1	91.5	120
92	M	92.1	92.5	
93	M	93.1	93.5	
94	M	94.1	94.5	123
95	M	95.1	95.5	
96	M	96.1	96.5	123;124
97	M	97.1	97.5	
98	M	98.1	98.5	121
99	M	99.1	99.5	122
100	M	100.1	100.5	
101	M	101.1	101.5	
102	M	102.1	102.5	
103	M	103.1	103.5	
104	M	104.1	104.5	
105	M	105.1	105.5	
106	M	106.1	106.5	
107	M	107.1	107.5	
108	M	108.1	108.5	
109	M	109.1	109.5	
110	M	110.1	110.5	
111	M	111.1	111.5	
112	M	112.1	112.5	
113	M	113.1	113.5	
114	M	114.1	114.5	
115	M	115.1	115.5	
116	M	116.1	116.5	
117	M	117.1	117.5	
118	M	118.1	118.5	
119	M	119.1	119.5	
120	M	120.1	120.5	
121	M	121.1	121.5	
122	M	122.1	122.5	
123	M	123.1	123.5	
124	M	124.1	124.5	
