ID	Name	Gender	Clan
2.5	 F 2.5	F	0
2.1	 H 2.1	H	0
4.5	 F 4.5	F	0
4.1	 H 4.1	H	0
6.5	 F 6.5	F	0
6.1	 H 6.1	H	0
8.5	 F 8.5	F	0
8.1	 H 8.1	H	0
10.5	 F 10.5	F	0
10.1	 H 10.1	H	0
12.5	 F 12.5	F	0
12.1	 H 12.1	H	0
14.5	 F 14.5	F	0
14.1	 H 14.1	H	0
16.5	 F 16.5	F	0
16.1	 H 16.1	H	0
18.5	 F 18.5	F	0
18.1	 H 18.1	H	0
20.5	 F 20.5	F	0
20.1	 H 20.1	H	0
22.5	 F 22.5	F	0
22.1	 H 22.1	H	0
24.5	 F 24.5	F	0
24.1	 H 24.1	H	0
26.5	 F 26.5	F	0
26.1	 H 26.1	H	0
28.5	 F 28.5	F	0
28.1	 H 28.1	H	0
30.5	 F 30.5	F	0
30.1	 H 30.1	H	0
32.5	 F 32.5	F	0
32.1	 H 32.1	H	0
34.5	 F 34.5	F	0
34.1	 H 34.1	H	0
36.5	 F 36.5	F	0
36.1	 H 36.1	H	0
38.5	 F 38.5	F	0
38.1	 H 38.1	H	0
40.5	 F 40.5	F	0
40.1	 H 40.1	H	0
42.5	 F 42.5	F	0
42.1	 H 42.1	H	0
44.5	 F 44.5	F	0
44.1	 H 44.1	H	0
46.5	 F 46.5	F	0
46.1	 H 46.1	H	0
48.5	 F 48.5	F	0
48.1	 H 48.1	H	0
50.5	 F 50.5	F	0
50.1	 H 50.1	H	0
52.5	 F 52.5	F	0
52.1	 H 52.1	H	0
54.5	 F 54.5	F	0
54.1	 H 54.1	H	0
56.5	 F 56.5	F	0
56.1	 H 56.1	H	0
58.5	 F 58.5	F	0
58.1	 H 58.1	H	0
60.5	 F 60.5	F	0
60.1	 H 60.1	H	0
61.5	 F 61.5	F	2
61.1	 H 61.1	H	1
62.5	 F 62.5	F	1
62.1	 H 62.1	H	1
63.5	 F 63.5	F	2
63.1	 H 63.1	H	1
64.5	 F 64.5	F	2
64.1	 H 64.1	H	2
65.5	 F 65.5	F	2
65.1	 H 65.1	H	1
66.5	 F 66.5	F	1
66.1	 H 66.1	H	2
67.5	 F 67.5	F	1
67.1	 H 67.1	H	2
68.5	 F 68.5	F	2
68.1	 H 68.1	H	1
69.5	 F 69.5	F	2
69.1	 H 69.1	H	2
70.5	 F 70.5	F	2
70.1	 H 70.1	H	1
71.5	 F 71.5	F	1
71.1	 H 71.1	H	2
72.5	 F 72.5	F	1
72.1	 H 72.1	H	1
73.5	 F 73.5	F	2
73.1	 H 73.1	H	2
74.5	 F 74.5	F	1
74.1	 H 74.1	H	1
75.5	 F 75.5	F	2
75.1	 H 75.1	H	2
76.5	 F 76.5	F	2
76.1	 H 76.1	H	1
77.5	 F 77.5	F	1
77.1	 H 77.1	H	2
78.5	 F 78.5	F	2
78.1	 H 78.1	H	1
79.5	 F 79.5	F	1
79.1	 H 79.1	H	2
80.5	 F 80.5	F	1
80.1	 H 80.1	H	1
81.5	 F 81.5	F	1
81.1	 H 81.1	H	2
82.5	 F 82.5	F	2
82.1	 H 82.1	H	2
83.5	 F 83.5	F	1
83.1	 H 83.1	H	1
84.5	 F 84.5	F	1
84.1	 H 84.1	H	2
85.5	 F 85.5	F	2
85.1	 H 85.1	H	1
86.5	 F 86.5	F	2
86.1	 H 86.1	H	1
87.5	 F 87.5	F	2
87.1	 H 87.1	H	2
88.5	 F 88.5	F	1
88.1	 H 88.1	H	2
89.5	 F 89.5	F	2
89.1	 H 89.1	H	2
90.5	 F 90.5	F	1
